name,almaMater,networth
Mike Lazaridis,University of Waterloo,7.0E8
Mikee Romero,De La Salle University,3.75E8
Mikhail Gutseriyev,"['Plekhanov Russian University of Economics', 'Gubkin Russian State University of Oil and Gas']",2.4E9
Mikhail Khodorkovsky,D. Mendeleev University of Chemical Technology of Russia,100.0
Mikhail Prokhorov,Financial University under the Government of the Russian Federation,7.8E9
Min Kao,"['National Taiwan University', 'University of Tennessee']",2.6E9
Miroslav Mišković,University of Belgrade,5.073E8
Mitchell Rales,Miami University,4.0E9
Mo Ibrahim,"['University of Birmingham', 'University of Bradford', 'Alexandria University']",1.1E9
Mohammed Al Barwani,"['Miami University', 'Heriot-Watt University']",1.11E9
Moosa Bin Shamsher,California State University,1.2E10
Mortimer Zuckerman,"['Wharton School of the University of Pennsylvania', 'McGill University', 'Harvard Law School', 'Bachelor of Civil Law']",2.4E9
Mukesh Ambani,"['Stanford University', 'Forest School Walthamstow', 'Institute of Chemical Technology']",2.01E10
Munib al-Masri,"['University of Texas at Austin', 'An-Najah National University']",5.0E9
Naguib Sawiris,ETH Zurich,3.1E9
Nathan Kirsh,University of the Witwatersrand,3.7E9
Naveen Selvadurai,"[""King's College London"", 'Worcester Polytechnic Institute']",8.0E7
Neil Bluhm,"['Northwestern University', 'University of Illinois at Urbana–Champaign']",3.0E9
Neil Kadisha,University of Manchester,1.76E9
Nick Woodman,University of California San Diego,7.7E8
Nicolas Berggruen,New York University,2.0E9
Nigella Lawson,"['University of Oxford', 'Lady Margaret Hall Oxford']",15.0
Nihat Özdemir,Gazi University,1.1E9
Nikos Pateras,City University London,1.1E9
N. R. Narayana Murthy,"['Indian Institute of Technology Kanpur', 'University of Mysore']",1.8E9
Nadhmi Auchi,Al-Mustansiriya University,1.5E9
Ole Andreas Halvorsen,"['Williams College', 'Stanford Graduate School of Business']",2.8E9
Oleg Deripaska,"['Moscow State University', 'Plekhanov Russian University of Economics']",2.5E9
Olive Willis,Somerville College Oxford,16510.0
Olivia Lum,National University of Singapore,4.6E8
Omid Kordestani,"['San Jose State University', 'Stanford Graduate School of Business']",5.0E8
Oprah Winfrey,Tennessee State University,3.1E9
Otto Happel,RWTH Aachen University,2.6E9
Otumfuo Nana Osei Tutu II,University of Professional Studies,"['1.6', '4.5E12']"
Patrick Bitature,"['Institute of Chartered Secretaries and Administrators', 'Namasagali College', 'Nyakasura School']",1.0E8
Patrick Drahi,École Polytechnique,7.9E9
