name,ivy_league,education,networth,birthYear
Whitney MacMillan,True,['Yale University'],4.6E9,1929
Wilbur Ross,True,"['Yale University', 'Xavier High School (New York City)', 'Harvard Business School']",2.9E9,1937
William Clay Ford Sr.,True,"['Yale University', 'Hotchkiss School']",1.4E9,1925
William E. Conway Jr.,True,"['Dartmouth College', 'Booth School of Business']",2.5E9,1949
William Randolph Hearst III,True,['Harvard University'],1.8E9,1949
William S. Fisher,True,"['Princeton University', 'Stanford University']",1.55E9,1958
Yuri Milner,True,"['Wharton School of the University of Pennsylvania', 'Moscow State University']",3.1E9,1961
A. Alfred Taubman,False,"['Lawrence Technological University', 'Taubman College of Architecture and Urban Planning']",3.1E9,1924
Andrew Beal,False,"['Michigan State University', 'Baylor University']",7.6E9,1952
Andrew Black (gambling entrepreneur),False,"['University of Exeter', ""King's College School""]",1.25E8,1963
Andrew Cherng,False,"['Baker University', 'University of Missouri']",3.2E9,1948
Andrew Gower,False,['University of Cambridge'],1.38E8,1978
Andrew Mason,False,"['Northwestern University', 'Bienen School of Music']",2.0E8,1980
Andrey Melnichenko,False,['Plekhanov Russian University of Economics'],8.0E9,1972
Andrónico Luksic Craig,False,['Babson College'],1.46E7,1954
Angela Ahrendts,False,['Ball State University'],1.5E8,1960
Ann Gloag,False,['Perth High School'],1.04E9,1942
Ann Walton Kroenke,False,['Lincoln University (Missouri)'],4.6E9,1948
Anne Hendricks Bass,False,['Park Tudor School'],6.9E8,1941
Anthony Bamford,False,['Ampleforth College'],3.1E9,1945
Aldo Bensadoun,False,['McGill University'],1.7E9,1939
Alec Gores,False,['Western Michigan University'],2.1E9,1953
Alessandro Gadotti,False,['Sapienza University of Rome'],7.5E7,1969
Alexander Mamut,False,['Moscow State University'],2.4E9,1960
Alexander Nesis,False,['Saint Petersburg State Institute of Technology'],2.4E9,1962
Alexander Putilov,False,"['Tyumen_Industrial_Institute', 'Bachelor of Arts']",1.1E9,1952
Alexander Rovt,False,['Lviv Academy of Commerce'],1.2E9,1952
