name,education,networth
Steve Wynn,['University of Pennsylvania'],2.3E9
Steven A. Cohen,['Wharton School of the University of Pennsylvania'],1.2E10
Steven A. Kandarian,"['Georgetown University', 'Clark University', 'Harvard Business School']",1.37E7
Steven Roth,"['Dartmouth College', 'Tuck School of Business']",1.0E9
S. Robson Walton,"['Columbia Law School', 'University of Arkansas']",3.21E10
Safra A. Catz,"['University of Pennsylvania', 'University of Pennsylvania Law School']",5.25E8
Sanford I. Weill,['Cornell University'],1.0E9
Stuart A. Miller,"['University of Miami', 'Harvard Business School']",9.0E8
Thomas H. Lee (businessman),['Harvard College'],2.0E9
Thomas W. Lamont,"['Phillips Exeter Academy', 'Harvard University']",2.5E7
Tom Steyer,"['Stanford Graduate School of Business', 'Yale College']",1.6E9
Tony Hsieh,['Harvard University'],8.4E8
Tony Ressler,"['Columbia University', 'Georgetown University']",1.42E9
Tory Burch,['University of Pennsylvania'],1.0E9
Ted Turner,"['Brown University', 'The McCallie School']",2.2E9
Terrence Pegula,['Pennsylvania State University'],4.0E9
Victor Fung,"['Massachusetts Institute of Technology', 'Harvard Business School']",2.9E9
Vincent Astor,['Harvard University'],1.5E9
Warren Buffett,"['Columbia Business School', 'University of Nebraska–Lincoln', 'Economics', 'Master of Science']",6.1E10
Whitney MacMillan,['Yale University'],4.6E9
Wilbur Ross,"['Yale University', 'Xavier High School (New York City)', 'Harvard Business School']",2.9E9
William Backhouse Astor Jr.,['Columbia College Columbia University'],7.2E7
William Clay Ford Sr.,"['Yale University', 'Hotchkiss School']",1.4E9
William E. Conway Jr.,"['Dartmouth College', 'Booth School of Business']",2.5E9
William Nelson Cromwell,['Columbia Law School'],1.5E7
William Randolph Hearst III,['Harvard University'],1.8E9
William S. Fisher,"['Princeton University', 'Stanford University']",1.55E9
Willis Sharpe Kilmer,['Cornell University'],10.0
Yuri Milner,"['Wharton School of the University of Pennsylvania', 'Moscow State University']",3.1E9
A. Alfred Taubman,"['Lawrence Technological University', 'Taubman College of Architecture and Urban Planning']",3.1E9
Andrew Beal,"['Michigan State University', 'Baylor University']",7.6E9
Andrew Black (gambling entrepreneur),"['University of Exeter', ""King's College School""]",1.25E8
Andrew Cherng,"['Baker University', 'University of Missouri']",3.2E9
Andrew Gower,['University of Cambridge'],1.38E8
Andrew Mason,"['Northwestern University', 'Bienen School of Music']",2.0E8
Andrew Tilles,['University of Arkansas'],3.60653E8
Andrey Melnichenko,['Plekhanov Russian University of Economics'],8.0E9
André Esteves,['Federal University of Rio de Janeiro'],2.2E9
Andrónico Luksic Craig,['Babson College'],1.46E7
Angela Ahrendts,['Ball State University'],1.5E8
Anita Zucker,"['University of Florida', 'University of North Florida']",2.1E9
Ann Gloag,['Perth High School'],1.04E9
Ann Walton Kroenke,['Lincoln University (Missouri)'],4.6E9
Anne Hendricks Bass,['Park Tudor School'],6.9E8
Anthony Bamford,['Ampleforth College'],3.1E9
Anton Rupert,['University of Pretoria'],2.3E9
Aldo Bensadoun,['McGill University'],1.7E9
Alec Gores,['Western Michigan University'],2.1E9
Alessandro Gadotti,['Sapienza University of Rome'],7.5E7
Alexander Mamut,['Moscow State University'],2.4E9
Alexander Nesis,['Saint Petersburg State Institute of Technology'],2.4E9
Alexander Putilov,"['Tyumen_Industrial_Institute', 'Bachelor of Arts']",1.1E9
Alexander Rovt,['Lviv Academy of Commerce'],1.2E9
Alexander Spanos,['University of the Pacific (United States)'],1.69E9
Alexei Mordashov,['Northumbria University'],1.32E10
Alfred E. Mann,['University of California Los Angeles'],1.5E9
Alfred I. du Pont,['Phillips Academy'],5.6E7
Ali Mufuruki,['Reutlingen University'],1.1E8
Alice Walton,['Trinity University (Texas)'],3.25E10
Aliko Dangote,['Al-Azhar University'],1.8E10
Alisher Usmanov,['Moscow State Institute of International Relations'],1.29E10
Alistair MacLean,"['University of Glasgow', 'Hillhead High School', 'Inverness Royal Academy', 'Daviot_School']",73347.0
Allen Stanford,"['Eastern Hills High School', 'Baylor University', 'Finance', 'Bachelor of Arts']",0.0
Aloke Lohia,"['University of Delhi', 'Bachelor of Commerce']",1.3E9
Aloysio de Andrade Faria,"['Northwestern University', 'Federal University of Minas Gerais']",2.2E9
Amar Bose,"['Massachusetts Institute of Technology', 'Doctor of Philosophy']",1.0E9
Antônio Ermírio de Moraes,['Colorado School of Mines'],3.1E9
Archie Aldis Emmerson,['Redding California'],3.9E9
Arif Naqvi,"['London School of Economics', 'Karachi Grammar School']",5.0E8
Arkady Rotenberg,['D. Mendeleev University of Chemical Technology of Russia'],1.26E9
Arnaud Lagardère,['Paris Dauphine University'],2.4E9
Arte Moreno,['University of Arizona'],1.81E9
Arthur Blank,['Babson College'],2.6E9
Arthur Wagner,"['Trinity College Cambridge', 'Eton College', 'Bachelor of Arts']",49907.0
Austen S. Cargill II,"['Oregon State University', 'University of Minnesota']",3.3E9
Aydın Doğan,['Marmara University'],1.0E9
Ayman Hariri,['Georgetown University'],1.04E9
Azim Premji,['Stanford University'],1.65E10
Adam D'Angelo,"['California Institute of Technology', 'Phillips Exeter Academy']",6.0E8
Adam Fleming (businessman),['Eton College'],1.5E9
Adi Godrej,['MIT Sloan School of Management'],4.0E9
Adolphus W. Green,['Boston Latin School'],2400000.0
Adrian Swire,"['Eton College', 'Wellesley House School']",2.4E9
Ajay Kalsi,"['London School of Economics', 'University of Cambridge']",1.2E9
Ajay Piramal,['University of Mumbai'],1.6E9
Al-Waleed bin Talal,"['Syracuse University', 'Menlo College']",2.4E10
Al Pacino,['HB Studio'],1.35E8
Alan Casden,['University of Southern California'],1.2E9
Alan Howard (hedge fund manager),['Imperial College London'],1.5E9
Alastair Salvesen,['Fettes College'],1.0E9
Barbra Streisand,['Erasmus Hall High School'],6.5E8
Barron Hilton,['University of Southern California'],2.5E9
Bernard Arnault,['École Polytechnique'],3.61E10
Bernard Ashley (businessman),['Whitgift School'],6.0E7
Bernard Marcus,"['Rutgers University', 'Rutgers University']",3.5E9
Bernard Spitzer,['City College of New York'],5.0E8
Bernardo Matte,['Pontifical Catholic University of Chile'],2.7E9
Bharat Desai,"['University of Michigan', 'Indian Institute of Technology Bombay']",2.5E9
Bhavin Turakhia,"['Ruparel College', 'Arya Vidya Mandir', 'Sydenham College']",4.0E8
Bill Gross,"['Duke University', 'UCLA Anderson School of Management']",2.3E9
Bill Koch (businessman),['Culver Academies'],2.0E9
Billy Graham,"['Wheaton College (Illinois)', 'Wheaton College (Illinois)', 'Trinity College (Florida)', 'Anthropology']",2.5E7
Binny Bansal,['Indian Institute of Technology Delhi'],1.3E9
Biz Stone,"['University of Massachusetts', 'Northeastern University']",2.0E8
Bjørn Kjos,"['University of Oslo', 'Royal Norwegian Air Force Academy']",300.0
Blair Parry-Okeden,['La Pietra'],9.8E9
Boaz Weinstein,['University of Michigan'],4.5E8
Bob McNair,['University of South Carolina'],3.3E9
Bob Parsons,['University of Baltimore'],2.3E9
Bobby Murphy (businessman),['Stanford University'],1.8E9
Boris Muzalev,['Odessa National Medical University'],1.61E8
Brian Acton,['Stanford University'],4.6E9
Brian Chesky,['Rhode Island School of Design'],3.3E9
Bruce Halle,['Eastern Michigan University'],5.1E9
Bruce Karsh,"['Duke University', 'University of Virginia']",1.65E9
Bülent Eczacıbaşı,"['Massachusetts Institute of Technology', 'University of London', 'Deutsche Schule Istanbul', 'Chemical engineering']",1.7E9
Baba Kalyani,"['Massachusetts Institute of Technology', 'Birla Institute of Technology and Science']",2.7E9
Babak Zanjani,['Ege University'],1.35E10
Charles Mbire,"['University of Essex', 'University of Leicester']",200.0
Charles R. Schwab,['Stanford University'],5.3E9
Charles Sirois,"['Laval University', 'Université de Sherbrooke']",8.11E8
Charles W. Engelhard Jr.,['University of Oxford'],2.5E8
Chase Coleman III,['Deerfield Academy'],2.3E9
Chen Fashu,['China Europe International Business School'],3.0E9
Chen Guangbiao,"['Peking University', 'Tsinghua University', 'Nanjing University', 'Nanjing University of Chinese Medicine', 'Master of Business Administration']","['4.0E8', '8.1E8']"
Chen Jianqiang,"['China Europe International Business School', 'Master of Business Administration']",7.8E8
Cheng Wai Keung,"['University of Chicago', 'Indiana University']",7.55E8
Cher Wang,['University of California'],8.8E9
Chey Tae-won,['University of Chicago'],4.2E9
Chris Evans (presenter),"['University Academy Warrington', 'Sir Thomas Boteler Church of England High School']",5.0E7
Chris Rokos,"['University of Oxford', 'Eton College']",1.0
Christoffel Wiese,"[""Paarl Boys' High School""]",5.3E9
Chung Mong-koo,"['Hanyang University', 'Hanyang University']",6.8E9
C. Dean Metropoulos,['Babson College'],2.4E9
Craig McCaw,['Stanford University'],1.84E9
Craig Newmark,['Case Western Reserve University'],4.0E8
Crispin Odey,['Christ Church Oxford'],1.1E9
Cyrus S. Poonawalla,['Brihan Maharashtra College of Commerce'],8.5E9
Caleb Chan,"['University of California Berkeley', 'University of San Francisco']",9.8E8
Carl Bennet,['University of Gothenburg'],2.8E9
Carlos Bulgheroni,['University of Buenos Aires'],5.1E9
Carlos Slim,"['National Autonomous University of Mexico', 'Civil engineering']",5.3E10
Charlene de Carvalho-Heineken,"['Leiden University', 'Rijnlands Lyceum Foundation']",1.34E10
Charles Brandes,"['Bucknell University', 'San Diego State University']",1.1E9
Charles Bronfman,['McGill University'],2.1E9
Charles Cruft (showman),"['Birkbeck University of London', 'Ardingly College']",30476.0
Charles D. Tandy,['Texas Christian University'],2.84E7
Charles Koch,"['Massachusetts Institute of Technology', 'Master of Science']",4.33E10
Daryl Katz,"['University of Alberta', 'Juris Doctor', 'Bachelor of Arts and Science']",3.5E9
David Azrieli,"['Technion – Israel Institute of Technology', 'Carleton University', 'Bachelor of Science']",3.1E9
David E. Shaw,"['Stanford University', 'University of California San Diego']",3.6E9
David Filo,"['Stanford University', 'Tulane University']",2.6E9
David G. Booth,"['University of Chicago', 'University of Kansas']",1.3E9
David Geffen,['University of Texas at Austin'],6.5E9
David Harding (financier),"[""St Catharine's College Cambridge"", 'Pangbourne College']",1.0E9
David Koch,"['Massachusetts Institute of Technology', 'Master of Science', 'Chemical engineering', 'Master of Science']",4.33E10
David L. Hallal,['University of New Hampshire'],7514610.0
David Ross (businessman),"['University of Nottingham', 'Uppingham School']",1.0E9
David Rubenstein,"['University of Chicago', 'Duke University']",2.5E9
David Tepper,"['Carnegie Mellon University', 'University of Pittsburgh']",1.14E10
DeShawn Snow,"['Michigan State University', 'Wayne Memorial High School']",1500000.0
DeVon Franklin,['University of Southern California'],1000000.0
Deborah Meaden,['City College Brighton & Hove'],4.0E7
Declan Donnelly,"[""St Cuthbert's High School""]",62.0
Dee Haslam,['University of Tennessee'],1.8E9
Denis O'Brien,"['Boston College', 'University College Dublin']",5.8E9
Denise Coates,['University of Sheffield'],3.9E9
Dick Enthoven,"['University of Southern California', 'London School of Economics']",1.1E9
Diego Della Valle,['University of Bologna'],1.6E9
Dilip Shanghvi,['University of Calcutta'],1.75E10
Ding Lei,['University of Electronic Science and Technology of China'],1.06E10
Ding Shijia,"['Fujian_Institute_of_Economics_and_Management', 'Businessperson']",1.0E9
Dinu Patriciu,['Ion Mincu University of Architecture and Urbanism'],2.7E9
Dmitry Kamenshchik,['Moscow State University'],4.8E9
Dmitry Mazepin,['Moscow State Institute of International Relations'],1.4E9
Dmitry Troitsky,"['Leningrad_Shipbuilding_Institute', 'Bachelor of Arts']",1.0E9
Don Hankey,['University of Southern California'],2.3E9
Donald Bren,['University of Washington'],1.51E10
Donald Fisher,['University of California Berkeley'],3.3E9
Donald Sterling,"['California State University Los Angeles', 'Southwestern Law School']",3.1E9
Dorabji Tata,"['University of Mumbai', 'Gonville and Caius College Cambridge']",1.0E7
Doug Richard,['University of California'],7.5E7
Drayton McLane Jr.,"['Michigan State University', 'Baylor University']",2.0E9
Drew Houston,['Massachusetts Institute of Technology'],1.3E9
